model_name,type,margin,right_class,all_class,size_dataset,train/bbox_loss,train/cls_loss,train/dfl_loss,train/num_epochs,train/mean_time_epoch,train/total_time,val/precision,val/recall,val/mAP50,val/mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,test/accuracy,test/precision,test/recall,test/fscore,test/mAP50-95,test/precision-circle,test/recall-circle,test/fscore-circle,test/precision-rect,test/recall-rect,test/fscore-rect,test/mean_confidence,test/mean_IoU,dataset/mean_IoU_train,dataset/mean_IoU_val,dataset/missing_bbox_train,dataset/missing_bbox_val,dataset/wrong_cls_train,dataset/wrong_cls_val
yolo-0_5-100-95-50-bbox_larger_smaller,bbox_larger_smaller,0_5,100,95,50,1.2734,0.56214,0.97374,15,0.44286345243454,6.6429517865181,0.91845,0.96729,0.9333,0.59178,1.29405,0.55544,0.97803,0.975368398408089,0.976383604909913,0.99893511548489,0.987530628913695,0.971340596752612,0.999816473351931,1,0.999908228254685,0.953967696629213,0.997869761633673,0.975424991473244,0.645776716732738,0.967839015673649,0.95920241774228,0.959532742945294,0.050389885125329,0.053105877989987,0,0
yolo-0_5-100-95-50-bbox_larger,bbox_larger,0_5,100,95,50,0.88798,0.37504,0.86421,15,0.428471959696876,6.42707939545314,0.94672,1,0.94369,0.75559,0.8996,0.36192,0.85895,0.999412768612482,0.999504478050213,0.999908199610766,0.999706298070745,0.628801901110812,0.99996328928047,1,0.99998164430331,0.999045801526718,0.999816358761524,0.999430931620009,0.806522945698278,0.794363983511415,0.961708262143693,0.962413593651699,0.050389885125329,0.053105877989987,0,0
yolo-0_5-100-95-50-bbox_smaller,bbox_smaller,0_5,100,95,50,1.0264,0.43358,0.86746,15,0.427141638861762,6.40712458292643,0.93318,0.98123,0.93842,0.6849,1.03543,0.42594,0.86108,0.988222659094219,0.991416936028781,0.996750266221129,0.994076447699702,0.58746642724824,0.999816473351931,1,0.999908228254685,0.983100127203344,0.993499100157931,0.988272258960213,0.735885614194711,0.773090186783319,0.94300924766698,0.943505668527974,0.050389885125329,0.053105877989987,0,0
yolo-0_15-85-90-50-bbox_larger_smaller,bbox_larger_smaller,0_15,85,90,50,2.1439,1.8977,1.3654,8,0.654071653882662,5.2325732310613,0.47678,0.36601,0.34513,0.12179,2.18984,1.86246,1.4072,0.24084307929572,0.999923774677948,0.240847501193405,0.388192646297255,0.214449726571278,0.999923774677948,0.481588898270862,0.650081768174835,0,0,0,0.341649169401749,0.929349091328425,0.910602700820024,0.911227408993324,0.0987626989398076,0.098905989245318,0.151563949997271,0.144950201662688
yolo-0_15-85-90-50-bbox_larger,bbox_larger,0_15,85,90,50,1.7125,1.0088,1.1889,15,0.442778559260898,6.64167838891347,0.75329,0.84031,0.72721,0.36955,1.74782,0.96344,1.21885,0.343296402340346,0.516027020452462,0.506315866779275,0.511125320878164,0.132823522564806,0.741309056202048,0.741363486177907,0.741336270190896,0.281793893129771,0.271164652734418,0.276377112695828,0.487892265409921,0.614634568617968,0.885089102474473,0.885640378376591,0.0987626989398076,0.098905989245318,0.151563949997271,0.144950201662688
yolo-0_15-85-90-50-bbox_smaller,bbox_smaller,0_15,85,90,50,2.1612,1.3603,1.2049,14,0.480509817316419,6.72713744242986,0.56004,0.34362,0.32716,0.12704,2.21758,1.32549,1.24436,0.29301985179764,0.988336213280671,0.294036646715382,0.453233338050092,0.0745851335699776,0.988140060240964,0.578104923088219,0.729449913144181,1,0.00984317038234106,0.0194944535370067,0.476852366623982,0.605292618001893,0.881813415899892,0.882174833593541,0.0987626989398076,0.098905989245318,0.151563949997271,0.144950201662688
yolo-0_10-95-100-10-bbox_larger_smaller,bbox_larger_smaller,0_10,95,100,10,1.8648,1.362,1.1783,8,0.227460785706838,1.8196862856547,0.72743,0.68764,0.69965,0.29311,1.90891,1.32578,1.21526,0.60461372409125,0.994074653352182,0.606800572834429,0.753594108056959,0.502538810731875,0.999906694658269,0.786849737508719,0.880675514648478,0.98349136471385,0.426672053476329,0.595148441302288,0.419663959720438,0.905892660211859,0.933638268272823,0.936015293875133,0,0,0.0510536339620323,0.0480029314767314
yolo-0_10-95-100-10-bbox_larger,bbox_larger,0_10,95,100,10,1.4442,0.81199,1.0224,5,0.241168259779612,1.20584129889806,0.94825,0.93894,0.93888,0.55333,1.4727,1.12936,1.03646,0.478134163559353,0.971318257032543,0.484981456321375,0.646942849095652,0.199483081290435,0.970623328533224,0.866074378648262,0.915373273319882,0.977162629757786,0.103720571491534,0.187535279078261,0.472408249310698,0.686694052427198,0.92135693430313,0.9218327697963,0,0,0.0510536339620323,0.0480029314767314
yolo-0_10-95-100-10-bbox_smaller,bbox_smaller,0_10,95,100,10,1.745,0.87905,1.0424,15,0.135434231493208,2.03151347239812,0.81208,0.67525,0.70808,0.33303,1.79153,0.84229,1.05901,0.610192054807864,0.840530447033567,0.690081885947196,0.757912142201789,0.230736504019951,0.895932062023733,0.867579573405779,0.881527902118771,0.760850599781898,0.512505968340251,0.612460772049948,0.554026432473835,0.650472974097309,0.909436995743298,0.912566607340203,0,0,0.0510536339620323,0.0480029314767314
yolo-0_10-100-85-100-bbox_larger_smaller,bbox_larger_smaller,0_10,100,85,100,1.8433,1.2539,1.2032,6,1.40679719977909,8.44078319867452,0.69204,0.67331,0.6671,0.28828,1.83231,1.26274,1.20145,0.561301876793187,0.991766225379399,0.563929791062314,0.719017744276418,0.50138788389105,0.999947173798204,0.694922721098425,0.819987437458035,0.97890365448505,0.432879127336835,0.600300506786869,0.458283816505564,0.931554255866346,0.933200270837383,0.93285958390582,0.149002130180421,0.147117479779887,0,0
